id,date,round,home_team_name,home_goals,away_team_name,away_goals,league,country,start_season,end_season,home_team_id,away_team_id,season_id,league_id
439,2018-04-18 16:00:00,33,Benevento,0,Atalanta,3,Serie A,Italy,2017-08-19,2018-05-20,17,2,5,1
440,2018-04-17 18:45:00,33,Internazionale,4,Cagliari,0,Serie A,Italy,2017-08-19,2018-05-20,22,3,5,1
441,2018-04-15 18:45:00,32,Lazio,0,Roma,0,Serie A,Italy,2017-08-19,2018-05-20,23,19,5,1
442,2018-04-15 16:00:00,32,Juventus,3,Sampdoria,0,Serie A,Italy,2017-08-19,2018-05-20,20,25,5,1
443,2018-04-15 13:00:00,32,Sassuolo,2,Benevento,2,Serie A,Italy,2017-08-19,2018-05-20,9,17,5,1
444,2018-04-15 13:00:00,32,Bologna,2,Hellas Verona,0,Serie A,Italy,2017-08-19,2018-05-20,27,12,5,1
445,2018-04-15 13:00:00,32,Milan,0,Napoli,0,Serie A,Italy,2017-08-19,2018-05-20,18,8,5,1
446,2018-04-15 10:30:00,32,Fiorentina,0,SPAL,0,Serie A,Italy,2017-08-19,2018-05-20,4,16,5,1
447,2018-04-14 18:45:00,32,Atalanta,0,Internazionale,0,Serie A,Italy,2017-08-19,2018-05-20,2,22,5,1
448,2018-04-14 16:00:00,32,Genoa,1,Crotone,0,Serie A,Italy,2017-08-19,2018-05-20,11,14,5,1
449,2018-04-14 16:00:00,32,Chievo,0,Torino,0,Serie A,Italy,2017-08-19,2018-05-20,26,7,5,1
450,2018-04-14 13:00:00,32,Cagliari,2,Udinese,1,Serie A,Italy,2017-08-19,2018-05-20,3,24,5,1
451,2018-04-08 18:45:00,31,Milan,1,Sassuolo,1,Serie A,Italy,2017-08-19,2018-05-20,18,9,5,1
452,2018-04-08 16:00:00,31,Udinese,1,Lazio,2,Serie A,Italy,2017-08-19,2018-05-20,24,23,5,1
453,2018-04-08 13:00:00,31,Crotone,1,Bologna,0,Serie A,Italy,2017-08-19,2018-05-20,14,27,5,1
454,2018-04-08 13:00:00,31,Hellas Verona,1,Cagliari,0,Serie A,Italy,2017-08-19,2018-05-20,12,3,5,1
455,2018-04-08 13:00:00,31,Napoli,2,Chievo,1,Serie A,Italy,2017-08-19,2018-05-20,8,26,5,1
456,2018-04-08 10:30:00,31,Torino,1,Internazionale,0,Serie A,Italy,2017-08-19,2018-05-20,7,22,5,1
457,2018-04-07 18:45:00,31,Sampdoria,0,Genoa,0,Serie A,Italy,2017-08-19,2018-05-20,25,11,5,1
458,2018-04-07 16:00:00,31,SPAL,1,Atalanta,1,Serie A,Italy,2017-08-19,2018-05-20,16,2,5,1
459,2018-04-07 16:00:00,31,Roma,0,Fiorentina,2,Serie A,Italy,2017-08-19,2018-05-20,19,4,5,1
460,2018-04-07 13:00:00,31,Benevento,2,Juventus,4,Serie A,Italy,2017-08-19,2018-05-20,17,20,5,1
461,2018-04-04 16:30:00,27,Torino,4,Crotone,1,Serie A,Italy,2017-08-19,2018-05-20,7,14,5,1
462,2018-04-04 16:30:00,27,Milan,0,Internazionale,0,Serie A,Italy,2017-08-19,2018-05-20,18,22,5,1
463,2018-04-04 16:30:00,27,Chievo,1,Sassuolo,1,Serie A,Italy,2017-08-19,2018-05-20,26,9,5,1
464,2018-04-04 15:00:00,27,Benevento,3,Hellas Verona,0,Serie A,Italy,2017-08-19,2018-05-20,17,12,5,1
465,2018-04-03 16:30:00,27,Genoa,2,Cagliari,1,Serie A,Italy,2017-08-19,2018-05-20,11,3,5,1
466,2018-04-03 16:30:00,27,Udinese,0,Fiorentina,2,Serie A,Italy,2017-08-19,2018-05-20,24,4,5,1
467,2018-04-03 16:30:00,27,Atalanta,1,Sampdoria,2,Serie A,Italy,2017-08-19,2018-05-20,2,25,5,1
468,2018-03-31 18:45:00,30,Juventus,3,Milan,1,Serie A,Italy,2017-08-19,2018-05-20,20,18,5,1
469,2018-03-31 16:00:00,30,Sassuolo,1,Napoli,1,Serie A,Italy,2017-08-19,2018-05-20,9,8,5,1
470,2018-03-31 16:00:00,30,Chievo,2,Sampdoria,1,Serie A,Italy,2017-08-19,2018-05-20,26,25,5,1
471,2018-03-31 13:00:00,30,Lazio,6,Benevento,2,Serie A,Italy,2017-08-19,2018-05-20,23,17,5,1
472,2018-03-31 13:00:00,30,Fiorentina,2,Crotone,0,Serie A,Italy,2017-08-19,2018-05-20,4,14,5,1
473,2018-03-31 13:00:00,30,Internazionale,3,Hellas Verona,0,Serie A,Italy,2017-08-19,2018-05-20,22,12,5,1
474,2018-03-31 13:00:00,30,Genoa,1,SPAL,1,Serie A,Italy,2017-08-19,2018-05-20,11,16,5,1
475,2018-03-31 13:00:00,30,Cagliari,0,Torino,4,Serie A,Italy,2017-08-19,2018-05-20,3,7,5,1
476,2018-03-31 13:00:00,30,Atalanta,2,Udinese,0,Serie A,Italy,2017-08-19,2018-05-20,2,24,5,1
477,2018-03-31 10:30:00,30,Bologna,1,Roma,1,Serie A,Italy,2017-08-19,2018-05-20,27,19,5,1
478,2018-03-18 19:45:00,29,Lazio,1,Bologna,1,Serie A,Italy,2017-08-19,2018-05-20,23,27,5,1
479,2018-03-18 19:45:00,29,Napoli,1,Genoa,0,Serie A,Italy,2017-08-19,2018-05-20,8,11,5,1
480,2018-03-18 14:00:00,29,Hellas Verona,0,Atalanta,5,Serie A,Italy,2017-08-19,2018-05-20,12,2,5,1
481,2018-03-18 14:00:00,29,Benevento,1,Cagliari,2,Serie A,Italy,2017-08-19,2018-05-20,17,3,5,1
482,2018-03-18 14:00:00,29,Milan,3,Chievo,2,Serie A,Italy,2017-08-19,2018-05-20,18,26,5,1
483,2018-03-18 14:00:00,29,Torino,1,Fiorentina,2,Serie A,Italy,2017-08-19,2018-05-20,7,4,5,1
484,2018-03-18 14:00:00,29,Crotone,0,Roma,2,Serie A,Italy,2017-08-19,2018-05-20,14,19,5,1
485,2018-03-18 11:30:00,29,Sampdoria,0,Internazionale,5,Serie A,Italy,2017-08-19,2018-05-20,25,22,5,1
486,2018-03-17 19:45:00,29,SPAL,0,Juventus,0,Serie A,Italy,2017-08-19,2018-05-20,16,20,5,1
487,2018-03-17 17:00:00,29,Udinese,1,Sassuolo,2,Serie A,Italy,2017-08-19,2018-05-20,24,9,5,1
