"";"xGhomehome";"xGawayaway";"xGhome_team_away";"xGaway_team_home";"punti_homehome";"punti_awayaway";"punti_home_team_away";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"385";1,35966666666667;0,837;1,71466666666667;2,07875;1,66666666666667;0;2,33333333333333;2,25;46;44;"1"
"386";2,22;0,803333333333333;1,637;1,14733333333333;2,33333333333333;2,33333333333333;1,33333333333333;2,33333333333333;85;31;"1"
"387";1,37633333333333;1,01466666666667;0,769;1,19933333333333;2,33333333333333;0,333333333333333;0;0,666666666666667;44;47;"X"
"388";1,44833333333333;1,126;0,999666666666667;1,65066666666667;1,33333333333333;2,33333333333333;0;0,666666666666667;33;50;"1"
"389";2,102;1,547;2,178;1,663;3;0,666666666666667;2,5;2;80;59;"1"
"390";0,924;2,438;0,613;1,58066666666667;0,5;3;1;1,33333333333333;43;81;"2"
"391";1,46433333333333;1,41633333333333;2,438;2,22;1,33333333333333;1,66666666666667;3;2,33333333333333;78;85;"1"
"392";1,235;0,744666666666667;1,358;0,956666666666667;0,5;1;1;0,333333333333333;46;42;"X"
"393";1,92366666666667;1,47433333333333;1,08866666666667;1,809;2;2;1;1,33333333333333;41;32;"1"
"394";1,10266666666667;0,652;0,693;1,14375;1,33333333333333;0;0,333333333333333;1;20;33;"1"
"395";2,305;2,12833333333333;1,126;1,854;1;2,33333333333333;2,33333333333333;2,33333333333333;50;77;"2"
"396";1,079;1,525;0,545;1,041;1,5;0,5;0,25;0,25;38;11;"1"
"397";1,2685;1,06066666666667;0,80625;1,37633333333333;2;0,333333333333333;2,5;2,33333333333333;28;44;"1"
"398";1,24966666666667;1,49;1,609;1,349;0,333333333333333;2;0;1,25;56;43;"2"
"399";1,92966666666667;2,08533333333333;1,68766666666667;2,20633333333333;1,66666666666667;1;1,66666666666667;1;65;59;"X"
"400";1,434;1,76566666666667;1,547;2,85766666666667;2;2,33333333333333;0,666666666666667;2;56;70;"1"
"401";2,52033333333333;2,0165;2,08533333333333;1,69675;2;3;1;1,75;59;75;"2"
"402";1,544;0,684;1,47433333333333;1,654;0,333333333333333;0,333333333333333;2;2;29;38;"1"
"403";1,147;0,919;1,118;1,09466666666667;0,333333333333333;2,33333333333333;0,333333333333333;1,33333333333333;11;25;"2"
"404";1,101;1,79966666666667;1,27433333333333;1,434;1,33333333333333;1,33333333333333;1,33333333333333;2;42;55;"X"
"405";1,10566666666667;1,74666666666667;0,534666666666667;1,24966666666667;0,333333333333333;0,333333333333333;0;0,333333333333333;30;56;"1"
"406";0,998;0,430666666666667;0,85425;1,10266666666667;0;0;0,75;1,33333333333333;41;19;"X"
"407";2,165;1,23766666666667;1,5455;0,975;1,5;1,33333333333333;2;0,333333333333333;67;46;"1"
"408";1,87533333333333;2,12;1,06066666666667;2,0705;3;2;0,333333333333333;2;43;64;"X"
"409";1,7855;1,519;1,556;2,009;3;3;2;1;84;49;"X"
"410";1,4325;1,3395;2,1055;1,47725;2;1,5;2,5;1,75;74;41;"1"
"411";2,06866666666667;2,279;1,74666666666667;2,116;1,33333333333333;2,33333333333333;0,333333333333333;2,33333333333333;56;71;"2"
"412";0,823666666666667;1,00866666666667;0,534666666666667;1,45666666666667;0,333333333333333;0;0;1;30;38;"2"
"413";1,149;2,1645;0,430666666666667;1,61425;0,333333333333333;2;0;2,25;16;55;"1"
"414";1,381;1,62333333333333;0,751;2,52033333333333;1,5;0,666666666666667;1,75;2;24;58;"X"
"415";1,506;1,115;1,51766666666667;0,9895;1,33333333333333;0,5;1;0,25;38;11;"1"
"416";1,156;0,963;1,23725;0,986;0,5;0,5;1,5;1;29;39;"2"
"417";1,7485;1,36633333333333;0,8545;1,87533333333333;1,5;1,33333333333333;1;3;35;43;"1"
"418";1,72433333333333;1,43666666666667;2,14433333333333;2,16733333333333;2,33333333333333;1,66666666666667;3;2;75;64;"2"
"419";2,041;1,316;1,15866666666667;0,975;1;2;2;0,333333333333333;48;45;"X"
"420";2,02533333333333;1,61166666666667;1,687;2,33933333333333;2,33333333333333;2,33333333333333;1,33333333333333;3;63;83;"X"
"421";0,534333333333333;1,7895;1,164;1,608;0,333333333333333;3;0,333333333333333;1,75;11;72;"2"
"422";2,7605;0,591666666666667;1,4135;0,823666666666667;3;1;2;0,333333333333333;80;30;"1"
"423";1,17033333333333;1,733;1,36633333333333;1,36775;2,33333333333333;1,5;1,33333333333333;1;40;38;"1"
"424";1,284;0,511;1,316;1,33733333333333;1,33333333333333;1,33333333333333;2;1,33333333333333;45;21;"2"
"425";3,22666666666667;1,036;1,62333333333333;0,902666666666667;3;1;0,666666666666667;0,333333333333333;58;26;"2"
"426";1,655;0,326666666666667;1,5815;1,149;1,5;0;2;0,333333333333333;61;16;"1"
"427";1,698;1,125;1,14325;2,29225;1,5;1,5;0;1,5;38;45;"2"
"428";0,982666666666667;1,96233333333333;0,924666666666667;2,116;1;3;0,666666666666667;2,33333333333333;38;70;"X"
"429";1,37466666666667;1,98333333333333;1,677;2,06866666666667;2;1,33333333333333;1,66666666666667;1,33333333333333;52;56;"1"
"430";1,872;0,739666666666667;1,687;1,29033333333333;1,66666666666667;1,33333333333333;1,33333333333333;1;60;35;"1"
"431";1,998;1,43166666666667;1,96233333333333;1,17033333333333;1,33333333333333;1,33333333333333;3;2,33333333333333;67;40;"1"
"433";1,65933333333333;1,91833333333333;1,704;1,872;2;2;3;1,66666666666667;71;59;"X"
"434";1,42966666666667;0,842666666666667;0,326666666666667;1,29033333333333;0,333333333333333;1,33333333333333;0;1;15;34;"X"
"435";0,873666666666667;1,05933333333333;1,42666666666667;1,883;0,333333333333333;0;2;2;35;38;"1"
"436";2,16833333333333;0,531;1,44766666666667;1,271;1,66666666666667;1,5;1,33333333333333;1;44;20;"X"
"437";1,65233333333333;0,413666666666667;1,677;0,902666666666667;2,33333333333333;0;1,66666666666667;0,333333333333333;52;23;"2"
"438";0,713;1,08733333333333;1,05925;2,629;0,5;1,66666666666667;0,25;3;11;77;"2"
"439";1,21533333333333;1,30633333333333;0,591666666666667;1,44533333333333;0,333333333333333;2,33333333333333;1;2;29;60;"X"
"440";2,01166666666667;1,82066666666667;1,98333333333333;3,22666666666667;1;1,33333333333333;1,33333333333333;3;55;57;"X"
