"";"id";"date";"round";"home_team_name";"home_goals";"away_team_name";"away_goals";"league";"country";"start_season";"end_season";"home_team_id";"away_team_id";"season_id";"league_id";"xGcasa";"xGtrasferta";"xGhomehome";"punti_homehome";"xGawayaway";"punti_awayaway";"xGhome_team_away";"punti_home_team_away";"xGaway_team_home";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"88";19337;"2018-10-21 10:30:00";9;"Frosinone";3;"Empoli";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";10;5;2;1;1,047;1,19;0;0;0;0;0;0;0;0;0;0;"X"
"89";19356;"2018-10-22 18:30:00";9;"Sampdoria";0;"Sassuolo";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";25;9;2;1;1,284;0,642;0;0;0;0;0;0;0;0;0;0;"X"
"90";27520;"2018-10-27 18:30:00";10;"Torino";1;"Fiorentina";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";7;4;2;1;0,958;1,19;1,5025;1,5;1,50066666666667;0,333333333333333;0,769;1,5;1,37866666666667;2,33333333333333;13;14;"X"
"91";27521;"2018-10-27 15:00:00";10;"Empoli";1;"Juventus";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";5;20;2;1;0,272;1,485;1,555;0,333333333333333;2,8655;3;1,224;0,333333333333333;2,148;2,5;6;25;"2"
"92";27522;"2018-10-27 13:00:00";10;"Atalanta";3;"Parma";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";2;21;2;1;2,984;1,376;1,426;0,5;0,514;2;1,43225;1;0,978666666666667;2;9;13;"1"
"93";27568;"2018-10-28 18:30:00";10;"Napoli";1;"Roma";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";8;19;2;1;2,039;0,784;1,981;3;2,0335;1,5;1,929;2;2,33375;1,75;21;14;"X"
"94";27569;"2018-10-28 17:00:00";9;"Milan";3;"Sampdoria";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";18;25;2;1;2,183;0,55;0;0;0;0;0;0;0;0;0;0;"1"
"95";27570;"2018-10-28 14:00:00";9;"Genoa";2;"Udinese";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";11;24;2;1;1,77;0,628;0;0;0;0;0;0;0;0;0;0;"X"
"96";27571;"2018-10-28 14:00:00";10;"SPAL";0;"Frosinone";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";16;10;2;1;0,725;1,357;1,965;1;1,214;0;1,26066666666667;1;0,7025;0,25;12;2;"2"
"97";27572;"2018-10-28 13:00:00";10;"Cagliari";2;"Chievo";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";3;26;2;1;1,477;1,189;1,09766666666667;1,66666666666667;1,06333333333333;0,333333333333333;0,595;0,333333333333333;0,915333333333333;0;10;2;"1"
"98";27573;"2018-10-28 10:30:00";10;"Sassuolo";2;"Bologna";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";9;27;2;1;1,937;1,507;1,4;1,5;0,457666666666667;0;1,0985;1;1,247;2,33333333333333;14;8;"X"
"99";27594;"2018-10-29 19:30:00";10;"Lazio";0;"Internazionale";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";23;22;2;1;1,235;1,619;2,098;3;1,0715;3;1,9985;2,25;1,59675;2,25;18;19;"2"
"100";27607;"2018-10-31 19:30:00";10;"Milan";2;"Genoa";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";18;11;2;1;1,535;0,383;2,36133333333333;2,33333333333333;0,869666666666667;1,33333333333333;1,16;1,33333333333333;1,64;1,33333333333333;15;14;"1"
"101";27611;"2018-11-02 19:30:00";11;"Napoli";5;"Empoli";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";8;5;2;1;2,451;0,765;2,222;2,33333333333333;1,224;0,333333333333333;1,929;2;1,149;0,333333333333333;22;6;"1"
"102";27631;"2018-11-03 16:00:00";11;"Fiorentina";1;"Roma";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";4;19;2;1;1,225;1,98;1,37866666666667;2,33333333333333;1,617;1,33333333333333;1,32833333333333;0,333333333333333;2,205;2;15;15;"X"
"103";27632;"2018-11-03 14:00:00";11;"Internazionale";5;"Genoa";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";22;11;2;1;3,365;0,257;1,66733333333333;3;0,774;1,33333333333333;1,254;3;1,64;1,33333333333333;22;14;"1"
"104";27659;"2018-11-04 18:30:00";11;"Udinese";0;"Milan";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";24;18;2;1;0,441;0,787;1,10166666666667;0;1,16;1,33333333333333;0,913333333333333;1,33333333333333;2,08933333333333;3;9;18;"2"
"105";27660;"2018-11-04 17:00:00";11;"Bologna";1;"Atalanta";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";27;2;2;1;1,824;1,855;1,247;2,33333333333333;1,64666666666667;1,33333333333333;0,737666666666667;0,333333333333333;1,94533333333333;1,33333333333333;9;12;"2"
"106";27661;"2018-11-04 14:00:00";11;"Chievo";0;"Sassuolo";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";26;9;2;1;0,535;1,145;0,915333333333333;0;1,218;1,33333333333333;1,06766666666667;0;1,579;1,33333333333333;2;15;"2"
"107";27662;"2018-11-04 14:00:00";11;"Parma";0;"Frosinone";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";21;10;2;1;0,584;0,424;0,978666666666667;2;1,26166666666667;1;0,873666666666666;1;0,799;0,333333333333333;13;5;"X"
"108";27663;"2018-11-04 14:00:00";11;"Sampdoria";1;"Torino";4;"Serie A";"Italy";"2018-08-19";"2019-05-26";25;7;2;1;2,191;2,067;1,11666666666667;1,33333333333333;0,801666666666667;1,66666666666667;1,07966666666667;1,33333333333333;1,321;1,33333333333333;15;14;"2"
"109";27664;"2018-11-04 11:30:00";11;"Lazio";4;"SPAL";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";23;16;2;1;2,541;0,92;1,81033333333333;2;1,26066666666667;1;1,75033333333333;2;1,60933333333333;0;18;12;"1"
"110";27665;"2018-11-03 19:30:00";11;"Juventus";3;"Cagliari";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";20;3;2;1;2,113;0,726;1,914;2,33333333333333;0,595;0,333333333333333;2,40533333333333;3;1,44566666666667;2,33333333333333;28;13;"1"
"111";27704;"2018-11-09 19:30:00";12;"Frosinone";1;"Fiorentina";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";10;4;2;1;0,687;2,17;1,1675;0,5;1,32833333333333;0,333333333333333;1,05225;1;1,215;1,66666666666667;6;16;"X"
"112";27726;"2018-11-10 19:30:00";12;"Genoa";1;"Napoli";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";11;8;2;1;0,876;1,789;1,651;0,5;1,7145;1,5;0,64475;1;2,27925;2,5;14;25;"2"
"113";27727;"2018-11-10 16:00:00";12;"SPAL";2;"Cagliari";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";16;3;2;1;1,918;1,005;1,60933333333333;0;0,597333333333333;0,333333333333333;1,32666666666667;1;1,44566666666667;2,33333333333333;12;13;"X"
"114";27728;"2018-11-10 13:00:00";12;"Torino";1;"Parma";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";7;21;2;1;2,338;1,603;1,4385;2;0,873666666666666;1;1,118;2;0,493333333333333;1,33333333333333;17;14;"2"
"115";27766;"2018-11-11 18:30:00";12;"Milan";0;"Juventus";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";18;20;2;1;0,821;1,534;2,08933333333333;3;2,1495;3;0,912666666666667;2;1,96375;2,5;21;31;"2"
"116";27767;"2018-11-11 17:00:00";12;"Sassuolo";1;"Lazio";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";9;23;2;1;0,542;1,489;1,3205;0,5;1,75033333333333;2;1,19975;1,75;1,72066666666667;2;18;21;"X"
"117";27768;"2018-11-11 14:00:00";12;"Chievo";2;"Bologna";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";26;27;2;1;2,246;1,844;0,568666666666667;0;0,737666666666667;0,333333333333333;1,06766666666667;0;1,56;1,33333333333333;2;9;"X"
"118";27769;"2018-11-11 14:00:00";12;"Empoli";2;"Udinese";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";5;24;2;1;1,547;3,754;1,149;0,333333333333333;0,8125;0,5;1,13333333333333;0,333333333333333;0,9365;0;6;9;"1"
"119";27770;"2018-11-11 14:00:00";12;"Roma";4;"Sampdoria";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";19;25;2;1;3,041;0,632;2,205;2;1,07966666666667;1,33333333333333;1,209;1,66666666666667;1,714;1,33333333333333;16;15;"1"
